,titles,subtitles,links
35,PLAYING FOR KEEPS,"Ex-Liverpool ace, 27, who Klopp played as a striker wins cup as keeper",https://www.thesun.co.uk/sport/37641617/shamal-george-klopp-scottish-league-cup-st-mirren-liverpool/
36,STARTER FOR TEN,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
37,NEW SPINS,Betway casino offer: Stake £10 & Get 150 Free Spins,https://www.thesun.co.uk/betting/36583775/betway-casino-offer-stake-10-get-150-spins/
38,TIME IS MONEY,Fast withdrawal casinos: Instant payout casino sites in the UK (2025),https://www.thesun.co.uk/betting/33528325/fast-withdrawal-casinos/
39,GIFT TO THE GAB,Inside Amorim's emergency JJ Gabriel meeting as star told to follow Ronaldo,https://www.thesun.co.uk/sport/37624261/man-utd-jj-gabriel-amorim-chat-old-trafford-invite/
40,NOR WAY,West Ham plot £15m transfer raid for Norwich star Josh Sargent,https://www.thesun.co.uk/sport/37623246/west-ham-transfer-norwich-josh-sargent/
41,COMEBACK KID,Michail Antonio training with EFL club after West Ham release following crash,https://www.thesun.co.uk/sport/37615793/michail-antonio-talks-sign-leicester-west-ham/
42,ACE'S ANGUISH,Yves Bissouma reveals he took hippy crack after losing £1m in spate of horror raids on his home as star says 'I'm sorry',https://www.thesun.co.uk/sport/37625943/yves-bissouma-hippy-crack-terrifying-burglaries/
43,HAAL NO,Arsenal should be wary of Man City star 'coming back to party' over Haaland,https://www.thesun.co.uk/sport/37635010/arsenal-man-city-foden-haaland-carragher/
44,CITY SLICKERS,"Premier League club shows off 52,000-seater new stadium plans for first time",https://www.thesun.co.uk/sport/37624179/nottingham-forest-stadium-plans-city-ground/
45,MAG-NIFICENT,Harry Maguire names 'brilliant and under-appreciated' Man Utd manager,https://www.thesun.co.uk/sport/37634771/harry-maguire-man-utd-ole-gunnar-solskjaer/
46,MIKE CHECK,Why Mike Ashley 'would not be the worst option' for Sheffield Wednesday,https://www.thesun.co.uk/sport/37634778/mike-ashley-sheffield-wednesday-takeover-option/
47,MOR OR LESS,Amorim in rampage against Man Utd academy with three popular stars singled out,https://www.thesun.co.uk/sport/37632076/ruben-amorim-man-utd-academy-obi-amass-collyer-blast/
48,TROY DEENEY,Reading what Salah and Maddison had to say left me in a right rage,https://www.thesun.co.uk/sport/37620058/mohamed-salah-james-maddison-lying-fans-troy-deeney/
49,KARREN BRADY,Almighty Afcon row is brewing – tournament has again been sold short by Fifa,https://www.thesun.co.uk/sport/37620494/karren-brady-afcon-row-fifa-tournament/
50,SAMUEL LUCKHURST,How Amorim settled on United's best attack… made up of four managers,https://www.thesun.co.uk/sport/37593922/ruben-amorim-manchester-united-attackers-mount-cunha/
51,FULL PICTURE,Interesting Premier League stats that should dictate your Dream Team strategy,https://www.thesun.co.uk/sport/football/dream-team/37541854/premier-league-stats-dictate-dream-team-strategy-fantasy/
52,PHYSIO ROOM,"Injuries & suspensions update GW13: Latest news on Semenyo, Ekitike and more",https://www.thesun.co.uk/sport/football/dream-team/37473287/injuries-suspensions-gameweek-update/
53,ENTER NOW,"New Last Man Standing Prize League starts this weekend — compete for £1,000",https://www.thesun.co.uk/sport/football/dream-team/36870852/enter-last-man-standing-prize-league-cash-prize/
